coin,timeframe,futures,swing_length,stop_loss_multiplier,take_profit_multiplier,min_strength_ratio,trailing_stop_activation,trailing_stop_percent,violation_type,ob_search_window_frac,break_atr_mult,ob_min_sl_atr_mult,ob_min_sl_pct,risk_per_trade_percent,mean_test_sharpe,pooled_test_sharpe,pooled_test_roi,pooled_bh_sharpe,pooled_bh_roi,mean_test_roi,mean_test_profit_factor,mean_test_win_rate,mean_test_trades
ETHUSDT,1m,True,100,0.5,2,0.3,1.5,1.5,Wick,0.5,0.2,1.0,0.001,5,,,,,,,,,
ETHUSDT,1m,True,30,1.2,2,0.5,2.0,3.0,Wick,2000.0,0.1,1.0,0.001,1,,,,,,,,,
ETHUSDT,1m,True,10,1.0,6,0.6,2.5,3.0,Close,2000.0,0.2,0.5,0.0005,5,,,,,,,,,
ETHUSDT,1m,True,75,1.5,5,0.3,1.5,3.0,Wick,0.25,0.1,1.0,0.001,1,,,,,,,,,
ETHUSDT,1m,True,10,1.0,2,0.6,1.5,1.5,Close,0.25,0.1,1.0,0.0005,3,,,,,,,,,
ETHUSDT,1m,True,100,1.5,6,0.7,1.5,2.0,Close,0.25,0.1,0.5,0.001,5,,,,,,,,,
ETHUSDT,1m,True,20,0.7,6,0.5,3.0,2.5,Close,0.5,0.1,0.5,0.0005,5,,,,,,,,,
ETHUSDT,1m,True,50,0.7,2,0.5,2.5,3.0,Wick,0.5,0.2,1.0,0.001,3,,,,,,,,,
ETHUSDT,1m,True,100,1.2,2,0.7,3.0,3.0,Wick,0.25,0.1,0.5,0.001,5,,,,,,,,,
ETHUSDT,1m,True,20,0.5,3,0.6,2.0,2.0,Close,2000.0,0.2,0.5,0.0005,1,,,,,,,,,
ETHUSDT,1m,True,50,1.0,5,0.5,2.5,2.5,Wick,0.25,0.1,0.5,0.001,1,,,,,,,,,
ETHUSDT,1m,True,100,1.5,5,0.4,3.0,2.0,Wick,2000.0,0.1,1.0,0.001,3,,,,,,,,,
ETHUSDT,1m,True,100,0.5,6,0.5,2.0,1.5,Wick,0.5,0.2,0.5,0.001,1,,,,,,,,,
ETHUSDT,1m,True,10,1.0,3,0.4,2.0,1.5,Close,2000.0,0.1,1.0,0.001,2,,,,,,,,,
ETHUSDT,1m,True,100,1.5,4,0.5,3.0,3.0,Close,0.5,0.2,0.5,0.001,5,,,,,,,,,
ETHUSDT,1m,True,75,1.0,4,0.7,2.0,3.0,Close,2000.0,0.2,0.5,0.0005,3,,,,,,,,,
ETHUSDT,1m,True,15,0.7,2,0.6,2.0,3.0,Close,0.5,0.1,0.5,0.0005,2,,,,,,,,,
ETHUSDT,1m,True,30,0.7,2,0.6,2.0,2.5,Wick,0.5,0.1,1.0,0.0005,5,,,,,,,,,
ETHUSDT,1m,True,20,1.5,3,0.5,2.0,2.5,Wick,2000.0,0.2,0.5,0.001,1,,,,,,,,,
ETHUSDT,1m,True,10,1.2,2,0.5,3.0,2.5,Wick,0.5,0.2,1.0,0.001,1,,,,,,,,,
ETHUSDT,1m,True,75,0.7,4,0.5,1.5,2.5,Wick,0.25,0.1,1.0,0.001,1,,,,,,,,,
ETHUSDT,1m,True,120,1.5,2,0.4,3.0,1.5,Wick,2000.0,0.2,1.0,0.001,3,,,,,,,,,
ETHUSDT,1m,True,20,1.2,3,0.7,2.0,3.0,Wick,0.5,0.1,0.5,0.001,2,,,,,,,,,
ETHUSDT,1m,True,5,0.5,6,0.4,1.5,1.5,Close,0.25,0.1,1.0,0.0005,3,,,,,,,,,
ETHUSDT,1m,True,120,1.5,2,0.7,2.5,1.5,Wick,0.5,0.1,0.5,0.0005,2,,,,,,,,,
ETHUSDT,1m,True,120,0.7,4,0.5,3.0,3.0,Wick,0.5,0.1,0.5,0.001,1,,,,,,,,,
ETHUSDT,1m,True,50,0.7,6,0.3,2.5,2.0,Close,0.5,0.1,1.0,0.0005,3,,,,,,,,,
ETHUSDT,1m,True,5,0.7,2,0.3,3.0,2.5,Wick,2000.0,0.2,1.0,0.001,3,,,,,,,,,
ETHUSDT,1m,True,30,0.5,6,0.6,2.0,1.5,Close,0.5,0.2,0.5,0.001,1,,,,,,,,,
ETHUSDT,1m,True,50,1.0,2,0.7,1.5,1.5,Wick,0.25,0.2,0.5,0.0005,1,,,,,,,,,
ETHUSDT,1m,True,75,1.5,4,0.7,3.0,2.5,Wick,2000.0,0.2,0.5,0.0005,1,,,,,,,,,
ETHUSDT,1m,True,120,0.5,2,0.7,1.5,2.5,Close,0.5,0.2,0.5,0.0005,5,,,,,,,,,
ETHUSDT,1m,True,30,1.5,4,0.4,3.0,1.5,Wick,2000.0,0.2,1.0,0.001,1,,,,,,,,,
ETHUSDT,1m,True,75,0.5,5,0.5,2.0,2.0,Close,0.25,0.1,0.5,0.001,5,,,,,,,,,
ETHUSDT,1m,True,100,0.5,6,0.3,3.0,2.5,Wick,0.25,0.2,1.0,0.0005,5,,,,,,,,,
ETHUSDT,1m,True,100,1.0,3,0.3,2.5,2.0,Close,2000.0,0.1,1.0,0.0005,2,,,,,,,,,
ETHUSDT,1m,True,120,1.5,5,0.7,2.0,1.5,Close,0.25,0.1,0.5,0.0005,2,,,,,,,,,
ETHUSDT,1m,True,20,0.5,4,0.4,2.0,3.0,Wick,0.25,0.2,1.0,0.001,5,,,,,,,,,
ETHUSDT,1m,True,20,0.7,4,0.7,2.5,2.0,Close,2000.0,0.2,1.0,0.0005,2,,,,,,,,,
ETHUSDT,1m,True,120,1.2,5,0.3,1.5,2.0,Close,2000.0,0.2,0.5,0.001,5,,,,,,,,,
ETHUSDT,1m,True,120,0.7,3,0.5,2.5,3.0,Close,2000.0,0.2,0.5,0.001,3,,,,,,,,,
ETHUSDT,1m,True,50,1.5,3,0.4,2.0,2.5,Wick,2000.0,0.1,1.0,0.001,3,,,,,,,,,
ETHUSDT,1m,True,50,1.2,3,0.5,2.0,2.0,Wick,0.25,0.1,1.0,0.001,1,,,,,,,,,
ETHUSDT,1m,True,100,1.0,2,0.3,2.0,2.5,Close,0.25,0.1,0.5,0.0005,2,,,,,,,,,
ETHUSDT,1m,True,15,0.5,3,0.6,1.5,1.5,Close,0.25,0.1,0.5,0.001,1,,,,,,,,,
ETHUSDT,1m,True,50,1.0,2,0.4,2.5,2.5,Close,2000.0,0.1,0.5,0.0005,3,,,,,,,,,
ETHUSDT,1m,True,100,1.0,4,0.5,2.0,2.5,Wick,2000.0,0.2,1.0,0.001,1,,,,,,,,,
ETHUSDT,1m,True,100,1.2,4,0.6,2.5,2.5,Wick,2000.0,0.1,1.0,0.001,1,,,,,,,,,
ETHUSDT,1m,True,120,0.5,5,0.4,2.0,1.5,Close,2000.0,0.2,1.0,0.001,5,,,,,,,,,
ETHUSDT,1m,True,30,1.5,3,0.3,2.0,3.0,Close,0.5,0.2,0.5,0.001,2,,,,,,,,,
ETHUSDT,1m,True,75,0.5,2,0.6,2.5,2.5,Close,2000.0,0.1,0.5,0.0005,5,,,,,,,,,
ETHUSDT,1m,True,15,0.5,2,0.4,2.0,2.0,Wick,0.25,0.1,1.0,0.001,1,,,,,,,,,
ETHUSDT,1m,True,10,0.5,2,0.7,3.0,2.0,Wick,2000.0,0.1,1.0,0.001,2,,,,,,,,,
ETHUSDT,1m,True,75,1.0,6,0.6,2.0,2.5,Close,0.5,0.2,0.5,0.001,5,,,,,,,,,
ETHUSDT,1m,True,120,1.2,2,0.7,2.5,2.5,Wick,0.25,0.1,0.5,0.001,5,,,,,,,,,
ETHUSDT,1m,True,50,1.0,4,0.7,2.0,1.5,Close,0.5,0.2,0.5,0.001,1,,,,,,,,,
ETHUSDT,1m,True,10,1.2,4,0.6,1.5,2.5,Wick,0.25,0.1,0.5,0.0005,5,,,,,,,,,
ETHUSDT,1m,True,75,0.7,2,0.7,2.5,2.5,Close,0.5,0.1,1.0,0.001,5,,,,,,,,,
ETHUSDT,1m,True,100,1.0,3,0.3,3.0,2.5,Close,0.5,0.1,0.5,0.0005,5,,,,,,,,,
